0,1,2,3,4,5
1538524800000,6525.79000000,6549.00000000,6508.00000000,6544.31000000,829.74262900
1538528400000,6544.25000000,6544.29000000,6513.60000000,6528.01000000,840.30659400
1538532000000,6528.01000000,6535.70000000,6479.35000000,6500.10000000,1532.30649500
1538535600000,6500.09000000,6503.09000000,6430.00000000,6462.09000000,2115.64120400
1538539200000,6464.00000000,6482.60000000,6441.86000000,6462.34000000,1265.42234800
1538542800000,6468.38000000,6486.42000000,6462.34000000,6470.01000000,1139.97864500
1538546400000,6470.00000000,6480.73000000,6448.00000000,6477.74000000,1332.81818200
1538550000000,6474.33000000,6480.00000000,6456.96000000,6460.28000000,664.10548200
1538553600000,6460.29000000,6473.50000000,6451.81000000,6458.95000000,996.98686100
1538557200000,6458.95000000,6476.46000000,6455.00000000,6470.01000000,838.59161400
1538560800000,6470.04000000,6510.40000000,6464.82000000,6485.37000000,1958.60118000
1538564400000,6485.34000000,6502.94000000,6473.54000000,6496.13000000,1288.72776000
1538568000000,6496.12000000,6497.00000000,6469.15000000,6474.27000000,1089.66960700
1538571600000,6474.26000000,6495.67000000,6463.49000000,6485.73000000,1377.89397600
1538575200000,6485.00000000,6545.01000000,6475.74000000,6531.05000000,1361.31742000
1538578800000,6531.05000000,6545.00000000,6503.87000000,6512.47000000,1572.18855300
1538582400000,6514.24000000,6523.14000000,6495.00000000,6513.81000000,1053.45227500
1538586000000,6510.61000000,6530.00000000,6506.41000000,6511.00000000,1158.98967600
1538589600000,6510.99000000,6514.40000000,6475.17000000,6497.43000000,964.81012100
1538593200000,6494.00000000,6499.72000000,6455.99000000,6478.89000000,965.43397500
1538596800000,6475.20000000,6494.00000000,6462.36000000,6482.68000000,981.45996100
1538600400000,6482.68000000,6499.85000000,6451.81000000,6452.83000000,910.60588900
1538604000000,6452.90000000,6489.49000000,6450.73000000,6482.58000000,861.74846800
1538607600000,6482.58000000,6538.88000000,6478.80000000,6510.00000000,1351.17022300
1538611200000,6510.01000000,6535.99000000,6505.09000000,6530.17000000,1101.15128900
1538614800000,6529.76000000,6643.46000000,6528.01000000,6598.69000000,3122.80332500
1538618400000,6593.09000000,6611.51000000,6585.12000000,6605.13000000,959.74741100
1538622000000,6605.12000000,6614.46000000,6593.00000000,6598.51000000,1127.64167300
1538625600000,6598.50000000,6618.25000000,6598.00000000,6604.61000000,1042.73606200
1538629200000,6606.00000000,6615.00000000,6580.10000000,6588.00000000,463.64447900
1538632800000,6588.98000000,6598.99000000,6569.72000000,6580.80000000,446.69620500
1538636400000,6580.74000000,6596.75000000,6564.30000000,6574.45000000,415.14923900
1538640000000,6574.45000000,6627.83000000,6572.01000000,6600.95000000,799.24271400
1538643600000,6600.39000000,6606.39000000,6591.22000000,6591.23000000,316.43942800
