0,1,2,3,4,5
1540771200000,6489.93000000,6492.89000000,6487.81000000,6490.75000000,11.23458700
1540771500000,6490.76000000,6492.77000000,6487.82000000,6489.62000000,18.31376000
1540771800000,6489.90000000,6492.39000000,6488.86000000,6492.31000000,9.85183600
1540772100000,6492.32000000,6495.00000000,6490.00000000,6491.73000000,24.16840300
1540772400000,6490.21000000,6494.98000000,6489.96000000,6491.70000000,18.21020300
1540772700000,6489.97000000,6492.96000000,6487.28000000,6487.35000000,18.18473400
1540773000000,6491.29000000,6491.29000000,6487.21000000,6488.65000000,18.31897500
1540773300000,6488.65000000,6489.32000000,6486.03000000,6489.26000000,14.41337500
1540773600000,6488.37000000,6489.18000000,6487.26000000,6488.59000000,9.90596400
1540773900000,6488.41000000,6489.87000000,6487.04000000,6488.83000000,12.56945500
1540774200000,6488.85000000,6495.68000000,6487.39000000,6492.17000000,19.59034100
1540774500000,6492.17000000,6495.00000000,6492.17000000,6494.03000000,15.49895000
1540774800000,6494.03000000,6494.15000000,6487.56000000,6489.61000000,24.90175100
1540775100000,6487.64000000,6494.09000000,6487.64000000,6488.42000000,6.98618700
1540775400000,6490.27000000,6491.99000000,6479.27000000,6483.01000000,24.73071000
1540775700000,6484.82000000,6486.65000000,6483.00000000,6486.48000000,8.78301300
1540776000000,6484.17000000,6486.56000000,6480.34000000,6483.14000000,12.74960800
1540776300000,6484.68000000,6488.45000000,6483.18000000,6487.92000000,15.26626700
1540776600000,6487.52000000,6488.33000000,6480.39000000,6481.18000000,17.33679200
1540776900000,6483.21000000,6487.06000000,6480.86000000,6487.04000000,17.78107800
1540777200000,6487.04000000,6495.00000000,6483.81000000,6490.00000000,29.75606400
1540777500000,6490.15000000,6493.17000000,6486.00000000,6488.78000000,17.88035700
1540777800000,6490.69000000,6493.73000000,6488.01000000,6490.75000000,11.05251300
1540778100000,6490.73000000,6492.85000000,6488.00000000,6491.51000000,8.94322100
1540778400000,6491.51000000,6492.99000000,6488.31000000,6490.29000000,16.86517000
1540778700000,6488.70000000,6492.60000000,6488.66000000,6489.00000000,13.20612500
1540779000000,6490.25000000,6490.25000000,6489.00000000,6489.97000000,13.07398100
1540779300000,6489.27000000,6494.86000000,6489.00000000,6492.95000000,14.45984900
1540779600000,6492.96000000,6505.01000000,6492.96000000,6494.99000000,62.01277000
1540779900000,6494.09000000,6499.00000000,6493.00000000,6498.06000000,11.50333900
1540780200000,6499.00000000,6500.00000000,6496.38000000,6499.50000000,15.25672900
1540780500000,6499.48000000,6499.99000000,6495.99000000,6498.14000000,23.55109700
1540780800000,6497.17000000,6498.14000000,6492.60000000,6492.69000000,20.16404700
1540781100000,6494.16000000,6497.00000000,6492.70000000,6493.88000000,21.99180000
1540781400000,6494.77000000,6496.99000000,6493.23000000,6496.34000000,24.25204900
1540781700000,6495.05000000,6496.98000000,6495.05000000,6496.24000000,6.61085900
1540782000000,6495.27000000,6498.90000000,6495.27000000,6497.43000000,43.28956800
1540782300000,6498.34000000,6499.00000000,6497.44000000,6498.97000000,19.10850500
1540782600000,6498.98000000,6498.98000000,6495.06000000,6497.29000000,11.82023400
1540782900000,6495.31000000,6498.97000000,6493.65000000,6496.84000000,12.40935400
1540783200000,6498.10000000,6498.77000000,6492.61000000,6492.61000000,9.31251700
1540783500000,6493.51000000,6498.00000000,6491.66000000,6494.19000000,16.05815700
1540783800000,6494.18000000,6498.50000000,6494.14000000,6497.46000000,10.46217900
1540784100000,6496.77000000,6498.73000000,6494.24000000,6496.80000000,21.66114000
1540784400000,6497.13000000,6500.00000000,6494.66000000,6498.16000000,19.16603500
1540784700000,6495.54000000,6499.80000000,6495.54000000,6498.22000000,6.11082700
1540785000000,6498.96000000,6500.31000000,6498.22000000,6499.12000000,19.39168800
1540785300000,6499.12000000,6500.00000000,6496.93000000,6496.94000000,19.09502700
1540785600000,6496.93000000,6499.36000000,6493.04000000,6497.72000000,15.83967200
1540785900000,6497.88000000,6498.99000000,6493.10000000,6498.01000000,12.07412700
1540786200000,6498.45000000,6501.62000000,6495.28000000,6498.72000000,24.79531800
1540786500000,6496.97000000,6500.00000000,6496.97000000,6499.56000000,12.51207200
1540786800000,6497.10000000,6501.58000000,6495.08000000,6498.02000000,13.63541700
1540787100000,6498.02000000,6501.00000000,6497.96000000,6499.00000000,17.66261500
1540787400000,6499.49000000,6502.26000000,6497.96000000,6499.94000000,17.57621300
1540787700000,6498.88000000,6499.82000000,6493.88000000,6496.65000000,14.41506600
1540788000000,6496.65000000,6497.95000000,6493.00000000,6495.32000000,12.71099000
1540788300000,6495.34000000,6498.01000000,6495.00000000,6496.90000000,24.59150400
1540788600000,6496.90000000,6499.99000000,6495.59000000,6498.00000000,9.44830700
1540788900000,6498.00000000,6502.33000000,6496.40000000,6497.86000000,15.87053200
1540789200000,6501.29000000,6501.29000000,6496.40000000,6496.53000000,19.69812000
1540789500000,6496.53000000,6500.00000000,6496.52000000,6498.98000000,29.81276300
1540789800000,6499.00000000,6499.46000000,6496.57000000,6497.37000000,10.85824600
1540790100000,6496.84000000,6498.00000000,6496.54000000,6496.54000000,17.44547500
