0,1,2,3,4,5
1529539200000,6763.21000000,6765.00000000,6731.40000000,6743.86000000,144.50939100
1529540100000,6745.00000000,6754.97000000,6740.04000000,6749.01000000,180.30700500
1529541000000,6749.22000000,6774.99000000,6742.02000000,6745.22000000,183.18187700
1529541900000,6745.22000000,6757.00000000,6729.16000000,6753.35000000,158.61591300
1529542800000,6755.56000000,6758.74000000,6742.01000000,6746.07000000,194.86705100
1529543700000,6748.00000000,6752.00000000,6742.23000000,6749.00000000,292.10691700
1529544600000,6749.00000000,6752.00000000,6734.03000000,6746.27000000,146.77502300
1529545500000,6749.00000000,6760.00000000,6746.26000000,6759.98000000,233.11739800
1529546400000,6756.40000000,6778.13000000,6754.00000000,6770.00000000,359.84480600
1529547300000,6770.15000000,6795.00000000,6758.40000000,6770.80000000,461.29530000
1529548200000,6770.80000000,6784.33000000,6765.05000000,6780.00000000,421.65465700
1529549100000,6780.01000000,6792.00000000,6773.00000000,6778.48000000,248.80038200
1529550000000,6782.00000000,6787.91000000,6768.24000000,6775.12000000,332.78495000
1529550900000,6771.62000000,6777.83000000,6763.91000000,6767.99000000,288.48983300
1529551800000,6766.16000000,6774.99000000,6763.93000000,6764.36000000,383.58091600
1529552700000,6766.00000000,6777.98000000,6764.36000000,6772.41000000,385.67654200
1529553600000,6772.69000000,6776.80000000,6751.86000000,6759.92000000,283.06417100
1529554500000,6759.85000000,6765.00000000,6751.00000000,6758.45000000,158.38711800
1529555400000,6758.00000000,6758.00000000,6743.82000000,6750.98000000,250.08559700
1529556300000,6750.98000000,6762.05000000,6750.00000000,6759.21000000,207.56310200
1529557200000,6759.00000000,6762.05000000,6743.81000000,6747.31000000,249.93458700
1529558100000,6745.58000000,6753.68000000,6736.00000000,6748.04000000,477.03134000
1529559000000,6748.04000000,6750.91000000,6743.91000000,6747.11000000,145.86974600
1529559900000,6747.98000000,6749.32000000,6741.25000000,6741.27000000,182.19067000
1529560800000,6744.76000000,6759.23000000,6731.43000000,6738.00000000,405.05807700
1529561700000,6738.00000000,6751.00000000,6736.95000000,6746.39000000,126.81366900
1529562600000,6748.00000000,6753.65000000,6744.01000000,6746.02000000,201.52242200
1529563500000,6750.00000000,6766.37000000,6746.00000000,6765.29000000,297.08865700
1529564400000,6765.29000000,6770.00000000,6755.72000000,6759.99000000,163.85721200
1529565300000,6759.99000000,6769.79000000,6751.08000000,6755.31000000,214.87397300
1529566200000,6755.33000000,6766.13000000,6751.13000000,6762.00000000,191.68296100
1529567100000,6761.73000000,6763.97000000,6750.18000000,6758.72000000,222.00318900
1529568000000,6751.94000000,6758.71000000,6731.59000000,6746.23000000,352.86904100
1529568900000,6744.57000000,6749.78000000,6708.92000000,6729.36000000,356.13555000
1529569800000,6729.36000000,6737.32000000,6716.00000000,6721.70000000,192.19338600
1529570700000,6721.70000000,6723.94000000,6713.10000000,6716.45000000,313.01845200
1529571600000,6716.45000000,6731.41000000,6716.41000000,6723.53000000,262.08908100
1529572500000,6723.53000000,6729.37000000,6718.15000000,6726.02000000,212.41356100
1529573400000,6726.02000000,6729.58000000,6708.90000000,6715.00000000,251.34064600
1529574300000,6710.81000000,6747.37000000,6680.00000000,6736.50000000,685.42741700
1529575200000,6736.50000000,6749.99000000,6731.01000000,6743.10000000,287.69242200
1529576100000,6743.25000000,6745.00000000,6726.00000000,6739.95000000,270.69748200
1529577000000,6739.95000000,6779.69000000,6735.99000000,6751.76000000,316.25916400
1529577900000,6751.75000000,6752.28000000,6735.99000000,6746.00000000,175.51077900
1529578800000,6746.00000000,6746.94000000,6736.07000000,6737.08000000,212.75346200
1529579700000,6737.08000000,6740.39000000,6724.12000000,6735.46000000,190.95690100
1529580600000,6735.46000000,6736.00000000,6725.00000000,6725.00000000,202.64872500
1529581500000,6724.73000000,6733.98000000,6723.83000000,6732.85000000,359.32389000
1529582400000,6730.00000000,6735.00000000,6715.35000000,6732.20000000,203.59968000
1529583300000,6731.34000000,6740.00000000,6721.10000000,6735.03000000,181.64458200
1529584200000,6740.00000000,6740.94000000,6727.01000000,6739.94000000,211.72999900
1529585100000,6739.94000000,6740.25000000,6710.20000000,6714.67000000,281.76661600
1529586000000,6714.67000000,6727.67000000,6708.98000000,6711.90000000,241.27534700
1529586900000,6709.00000000,6727.00000000,6702.68000000,6719.98000000,377.10066100
1529587800000,6720.00000000,6720.00000000,6690.78000000,6691.54000000,463.99870500
1529588700000,6693.11000000,6728.00000000,6672.57000000,6720.00000000,567.14671400
1529589600000,6720.00000000,6726.79000000,6704.89000000,6717.58000000,388.04490900
1529590500000,6718.95000000,6718.95000000,6695.93000000,6701.38000000,209.27145700
1529591400000,6701.38000000,6717.95000000,6692.85000000,6698.00000000,409.01745000
1529592300000,6695.01000000,6720.00000000,6685.95000000,6715.99000000,345.05206400
1529593200000,6715.99000000,6719.96000000,6704.68000000,6707.29000000,320.02633600
1529594100000,6707.29000000,6724.88000000,6704.69000000,6719.90000000,302.38156700
1529595000000,6718.76000000,6731.99000000,6715.00000000,6724.00000000,365.70181500
1529595900000,6724.00000000,6724.90000000,6704.68000000,6713.96000000,181.26753900
1529596800000,6713.96000000,6716.49000000,6693.43000000,6708.91000000,359.28710300
1529597700000,6712.67000000,6719.75000000,6699.22000000,6718.65000000,166.76233800
1529598600000,6718.64000000,6725.00000000,6708.00000000,6714.01000000,271.60905000
1529599500000,6714.01000000,6737.79000000,6710.87000000,6719.97000000,315.68555600
1529600400000,6719.97000000,6726.93000000,6716.00000000,6721.39000000,223.14955000
1529601300000,6721.38000000,6721.38000000,6688.00000000,6696.73000000,356.30869200
1529602200000,6696.69000000,6712.77000000,6689.85000000,6707.58000000,430.20864400
1529603100000,6707.53000000,6711.45000000,6695.50000000,6703.98000000,331.68757900
1529604000000,6703.98000000,6712.77000000,6701.38000000,6708.00000000,306.34401800
1529604900000,6708.00000000,6708.00000000,6698.78000000,6699.76000000,192.78096900
1529605800000,6701.60000000,6707.00000000,6698.12000000,6703.90000000,280.24160500
1529606700000,6703.90000000,6704.99000000,6690.67000000,6697.00000000,139.06631100
1529607600000,6695.10000000,6724.56000000,6695.00000000,6710.00000000,322.05633100
1529608500000,6710.00000000,6713.00000000,6701.22000000,6706.98000000,68.27497200
1529609400000,6706.00000000,6709.84000000,6700.50000000,6709.84000000,306.93978700
1529610300000,6709.84000000,6722.00000000,6706.08000000,6714.04000000,224.65497100
1529611200000,6714.52000000,6725.00000000,6705.06000000,6722.55000000,172.46167000
1529612100000,6722.55000000,6730.00000000,6722.01000000,6728.50000000,129.95787800
1529613000000,6728.70000000,6728.79000000,6700.00000000,6710.41000000,187.72289300
1529613900000,6711.00000000,6721.39000000,6701.49000000,6716.78000000,165.38635400
1529614800000,6716.78000000,6723.88000000,6713.73000000,6716.31000000,296.77852700
1529615700000,6717.00000000,6717.99000000,6707.93000000,6708.99000000,426.31929600
1529616600000,6709.00000000,6713.91000000,6703.53000000,6708.02000000,346.49676900
1529617500000,6708.02000000,6710.00000000,6698.04000000,6699.33000000,140.45982000
1529618400000,6699.32000000,6713.95000000,6698.01000000,6704.93000000,201.02994900
1529619300000,6698.73000000,6715.00000000,6695.31000000,6709.00000000,197.95367800
1529620200000,6709.02000000,6748.00000000,6706.31000000,6724.52000000,282.00033800
1529621100000,6728.09000000,6743.06000000,6712.40000000,6724.75000000,145.26123900
1529622000000,6722.29000000,6725.00000000,6708.00000000,6719.73000000,69.40633600
1529622900000,6719.73000000,6723.34000000,6712.90000000,6719.53000000,202.16829300
1529623800000,6719.49000000,6723.00000000,6714.47000000,6720.00000000,173.18604600
1529624700000,6718.84000000,6722.16000000,6713.27000000,6718.84000000,114.21763400
1529625600000,6717.69000000,6720.00000000,6708.00000000,6710.04000000,177.02913900
1529626500000,6710.50000000,6720.00000000,6710.04000000,6719.99000000,221.22806900
1529627400000,6717.23000000,6733.97000000,6715.00000000,6721.03000000,291.30201400
1529628300000,6722.51000000,6724.99000000,6716.00000000,6722.95000000,88.41180200
1529629200000,6722.95000000,6725.71000000,6710.06000000,6710.06000000,301.19864200
1529630100000,6710.06000000,6718.50000000,6682.64000000,6704.93000000,296.59482300
1529631000000,6704.87000000,6710.25000000,6626.12000000,6642.51000000,760.77460000
1529631900000,6644.53000000,6664.30000000,6600.00000000,6637.59000000,575.62630400
1529632800000,6637.59000000,6653.40000000,6621.35000000,6623.76000000,267.99761000
