0,1,2,3,4,5
1527897600000,7521.01000000,7533.00000000,7437.00000000,7472.23000000,984.18157800
1527901200000,7467.03000000,7502.08000000,7462.00000000,7485.00000000,832.08153100
1527904800000,7487.92000000,7511.00000000,7480.01000000,7489.89000000,839.94869400
1527908400000,7489.89000000,7511.66000000,7487.00000000,7500.00000000,1076.43461200
1527912000000,7500.00000000,7509.46000000,7489.97000000,7498.50000000,781.06379300
1527915600000,7498.49000000,7539.00000000,7498.21000000,7531.98000000,767.12720200
1527919200000,7531.02000000,7685.00000000,7465.53000000,7645.90000000,1880.90880400
1527922800000,7645.91000000,7682.09000000,7628.32000000,7641.00000000,1465.53431800
1527926400000,7641.00000000,7695.17000000,7634.00000000,7662.03000000,1469.46115000
1527930000000,7662.03000000,7668.01000000,7631.00000000,7659.72000000,1251.12342600
1527933600000,7663.14000000,7675.80000000,7640.01000000,7660.00000000,1341.43219400
1527937200000,7660.00000000,7669.26000000,7612.00000000,7652.28000000,1200.60231300
1527940800000,7650.00000000,7660.00000000,7620.96000000,7636.28000000,1233.27737100
1527944400000,7639.45000000,7657.00000000,7626.00000000,7635.99000000,922.06412000
1527948000000,7635.99000000,7653.79000000,7625.00000000,7653.79000000,986.35789300
1527951600000,7653.79000000,7697.33000000,7590.67000000,7623.10000000,1707.80158000
1527955200000,7623.09000000,7651.00000000,7592.77000000,7631.24000000,1097.06318100
1527958800000,7631.99000000,7669.62000000,7620.00000000,7642.37000000,1509.47549500
1527962400000,7642.36000000,7670.00000000,7638.09000000,7660.29000000,1183.91788700
1527966000000,7659.14000000,7672.00000000,7651.32000000,7665.00000000,818.00809100
1527969600000,7664.99000000,7672.00000000,7607.65000000,7612.07000000,828.36325700
1527973200000,7613.51000000,7652.89000000,7610.00000000,7639.89000000,980.03392600
1527976800000,7639.89000000,7641.90000000,7616.08000000,7631.00000000,682.42558000
1527980400000,7633.78000000,7648.96000000,7630.01000000,7640.03000000,882.00222300
1527984000000,7636.81000000,7668.52000000,7636.00000000,7660.08000000,936.36054000
1527987600000,7660.07000000,7676.12000000,7630.05000000,7650.59000000,872.07739100
1527991200000,7653.12000000,7653.12000000,7600.00000000,7641.41000000,1193.86015100
1527994800000,7641.42000000,7651.20000000,7620.82000000,7643.10000000,710.15479400
1527998400000,7645.23000000,7649.99000000,7625.00000000,7645.28000000,824.97844500
1528002000000,7647.47000000,7665.48000000,7635.86000000,7655.00000000,755.64660600
1528005600000,7655.00000000,7786.69000000,7640.00000000,7729.64000000,2011.94156900
1528009200000,7725.59000000,7742.87000000,7715.00000000,7720.00000000,1040.58790400
1528012800000,7720.00000000,7776.25000000,7713.73000000,7755.25000000,1406.52211600
1528016400000,7755.15000000,7766.88000000,7732.64000000,7753.63000000,1114.11360100
1528020000000,7750.37000000,7756.79000000,7695.50000000,7703.80000000,1523.74755300
1528023600000,7703.70000000,7730.00000000,7700.00000000,7714.85000000,1075.77408900
1528027200000,7714.85000000,7735.89000000,7705.01000000,7718.83000000,1020.12476200
1528030800000,7724.99000000,7750.26000000,7711.00000000,7720.05000000,942.12032200
1528034400000,7720.00000000,7730.00000000,7680.06000000,7717.00000000,1518.12108600
1528038000000,7718.51000000,7732.95000000,7702.55000000,7730.01000000,948.94420700
1528041600000,7731.00000000,7739.97000000,7700.07000000,7706.58000000,1009.27764000
