0,1,2,3,4,5
1504224000000,4689.89000000,4766.99000000,4689.89000000,4725.00000000,43.82301700
1504231200000,4740.99000000,4767.00000000,4713.67000000,4714.73000000,31.82496100
1504238400000,4714.73000000,4734.99000000,4654.88000000,4664.14000000,49.57019700
1504245600000,4664.14000000,4713.80000000,4656.30000000,4707.50000000,51.65593700
1504252800000,4715.00000000,4762.99000000,4708.09000000,4742.46000000,69.80060100
1504260000000,4739.33000000,4798.46000000,4725.88000000,4775.00000000,61.16605400
1504267200000,4775.00000000,4839.92000000,4736.35000000,4777.02000000,22.12987300
1504274400000,4777.02000000,4804.12000000,4725.81000000,4803.83000000,46.75783900
1504281600000,4756.46000000,4803.83000000,4738.94000000,4792.97000000,53.33658500
1504288800000,4792.97000000,4815.67000000,4739.08000000,4813.24000000,43.61503800
1504296000000,4808.79000000,4859.44000000,4770.63000000,4770.63000000,43.78508200
1504303200000,4760.01000000,4885.55000000,4760.01000000,4834.91000000,43.20118200
1504310400000,4796.16000000,4932.38000000,4784.43000000,4932.38000000,67.00771700
1504317600000,4932.38000000,4939.19000000,4764.88000000,4788.07000000,78.53081100
1504324800000,4765.01000000,4814.49000000,4473.35000000,4473.35000000,82.90589500
1504332000000,4493.00000000,4780.00000000,4473.35000000,4697.71000000,95.86371300
1504339200000,4701.02000000,4709.40000000,4549.77000000,4604.02000000,80.84441600
1504346400000,4604.01000000,4688.66000000,4556.71000000,4630.01000000,61.39546000
1504353600000,4669.75000000,4675.00000000,4516.17000000,4618.39000000,68.33179900
1504360800000,4618.39000000,4618.39000000,4354.61000000,4460.19000000,118.97268600
1504368000000,4465.12000000,4545.76000000,4377.43000000,4530.01000000,84.97468600
1504375200000,4554.98000000,4554.98000000,4428.66000000,4509.77000000,54.64083600
1504382400000,4509.77000000,4509.96000000,4286.87000000,4299.53000000,82.78080600
1504389600000,4398.49000000,4508.50000000,4299.47000000,4472.14000000,52.89977000
1504396800000,4508.50000000,4618.38000000,4486.19000000,4560.00000000,57.02225400
1504404000000,4545.00000000,4618.40000000,4467.88000000,4569.54000000,55.54650400
1504411200000,4584.78000000,4714.76000000,4584.78000000,4675.12000000,70.95987100
1504418400000,4684.90000000,4714.33000000,4586.29000000,4620.87000000,48.79301300
1504425600000,4610.52000000,4674.86000000,4502.75000000,4523.47000000,67.55466600
1504432800000,4523.48000000,4557.19000000,4456.80000000,4486.00000000,35.65885300
1504440000000,4475.23000000,4557.25000000,4298.33000000,4303.10000000,83.08978600
1504447200000,4303.31000000,4469.14000000,4298.33000000,4384.15000000,87.18173300
1504454400000,4351.02000000,4529.44000000,4345.01000000,4476.13000000,44.71720300
1504461600000,4500.00000000,4530.00000000,4425.46000000,4529.00000000,61.57709400
1504468800000,4529.00000000,4550.00000000,4445.15000000,4549.00000000,46.06588500
1504476000000,4549.00000000,4583.84000000,4492.73000000,4509.08000000,33.04933600
1504483200000,4505.00000000,4527.49000000,4411.80000000,4411.81000000,33.84022500
1504490400000,4411.97000000,4448.03000000,4340.50000000,4340.51000000,47.49089700
1504497600000,4340.53000000,4467.00000000,4340.53000000,4402.00000000,89.92358400
1504504800000,4402.02000000,4493.15000000,4052.00000000,4186.96000000,185.99001000
1504512000000,4102.05000000,4390.00000000,4075.00000000,4336.42000000,270.12966400
1504519200000,4336.86000000,4437.68000000,4114.33000000,4153.00000000,194.55037400
1504526400000,4153.00000000,4311.14000000,4106.81000000,4275.19000000,118.51824600
1504533600000,4275.19000000,4275.19000000,4014.76000000,4015.03000000,157.72298100
1504540800000,4015.03000000,4115.05000000,3972.52000000,3972.53000000,91.36519600
1504548000000,3972.53000000,4224.99000000,3972.51000000,4203.67000000,63.67737000
1504555200000,4187.00000000,4300.95000000,4121.02000000,4258.40000000,64.76224600
1504562400000,4258.40000000,4258.40000000,4100.11000000,4100.11000000,76.67382100
1504569600000,4106.97000000,4121.33000000,3620.00000000,3620.00000000,173.53247100
1504576800000,3659.50000000,4071.83000000,3603.00000000,3988.04000000,113.20482400
1504584000000,3996.24000000,4070.38000000,3943.10000000,3960.01000000,93.36138600
1504591200000,3966.83000000,4190.40000000,3960.01000000,4190.40000000,120.47303500
1504598400000,4190.00000000,4217.23000000,4050.00000000,4120.05000000,156.21156000
1504605600000,4120.40000000,4248.60000000,4096.07000000,4246.82000000,65.90284900
1504612800000,4248.64000000,4297.63000000,4192.29000000,4261.04000000,109.87701100
1504620000000,4267.23000000,4298.00000000,4116.65000000,4151.00000000,135.19945400
1504627200000,4140.00000000,4337.70000000,4096.06000000,4322.47000000,57.06383500
1504634400000,4317.67000000,4459.55000000,4294.00000000,4442.48000000,68.52074000
1504641600000,4442.09000000,4445.72000000,4351.01000000,4374.43000000,69.52986100
1504648800000,4366.77000000,4484.99000000,4352.53000000,4366.47000000,66.06113100
1504656000000,4366.49000000,4521.18000000,4365.73000000,4502.83000000,86.72094300
1504663200000,4502.83000000,4522.81000000,4414.25000000,4430.02000000,100.69962600
1504670400000,4448.10000000,4466.09000000,4335.26000000,4416.17000000,80.65243200
1504677600000,4416.54000000,4505.96000000,4335.26000000,4461.29000000,85.65551000
1504684800000,4476.13000000,4574.46000000,4474.20000000,4492.66000000,80.48881900
1504692000000,4497.81000000,4597.79000000,4469.82000000,4548.13000000,94.80600100
1504699200000,4544.59000000,4594.90000000,4422.28000000,4502.77000000,172.81283600
1504706400000,4490.01000000,4619.47000000,4466.20000000,4619.43000000,88.78396100
1504735200000,4619.43000000,4662.87000000,4610.00000000,4619.77000000,16.74359800
1504742400000,4619.77000000,4661.93000000,4451.93000000,4453.01000000,22.07997800
1504749600000,4465.64000000,4572.47000000,4438.19000000,4484.03000000,65.09510800
1504756800000,4489.48000000,4561.90000000,4482.00000000,4519.48000000,39.27779400
1504764000000,4519.47000000,4548.13000000,4452.00000000,4510.25000000,26.66645300
1504771200000,4475.01000000,4589.99000000,4458.00000000,4571.66000000,39.94281600
1504778400000,4580.78000000,4649.92000000,4557.89000000,4613.94000000,52.56746100
1504785600000,4616.79000000,4723.32000000,4587.65000000,4710.00000000,104.26066800
1504792800000,4720.32000000,4759.25000000,4642.84000000,4755.00000000,60.94901400
1504800000000,4755.00000000,4788.59000000,4672.35000000,4702.06000000,36.78861800
