0,1,2,3,4,5
1504224000000,4689.89000000,4731.13000000,4689.89000000,4711.26000000,4.30639100
1504225800000,4707.27000000,4745.35000000,4706.09000000,4721.05000000,11.40528200
1504227600000,4730.05000000,4740.00000000,4714.73000000,4723.92000000,18.07068700
1504229400000,4736.00000000,4766.99000000,4701.11000000,4725.00000000,10.04065700
1504231200000,4740.99000000,4767.00000000,4723.00000000,4730.04000000,9.15890900
1504233000000,4730.10000000,4766.88000000,4730.10000000,4735.96000000,5.98178400
1504234800000,4767.00000000,4767.00000000,4719.05000000,4719.05000000,6.01086400
1504236600000,4719.05000000,4730.00000000,4713.67000000,4714.73000000,10.67340400
1504238400000,4714.73000000,4734.99000000,4685.36000000,4717.00000000,25.63001500
1504240200000,4685.36000000,4706.63000000,4672.00000000,4672.00000000,15.19351300
1504242000000,4672.00000000,4678.07000000,4654.88000000,4678.07000000,5.87478200
1504243800000,4664.15000000,4688.96000000,4664.14000000,4664.14000000,2.87188700
1504245600000,4664.14000000,4676.44000000,4656.30000000,4656.30000000,5.43773000
1504247400000,4696.00000000,4696.99000000,4656.30000000,4666.66000000,8.73382400
1504249200000,4666.66000000,4710.06000000,4666.66000000,4705.11000000,18.41711900
1504251000000,4705.11000000,4713.80000000,4687.53000000,4707.50000000,19.06726400
1504252800000,4715.00000000,4762.99000000,4708.09000000,4762.99000000,16.58332700
1504254600000,4731.12000000,4750.00000000,4731.00000000,4749.99000000,18.44543500
1504256400000,4731.01000000,4749.99000000,4731.00000000,4749.99000000,14.73136500
1504258200000,4749.99000000,4750.00000000,4731.00000000,4742.46000000,20.04047400
1504260000000,4739.33000000,4778.19000000,4735.98000000,4766.01000000,10.24132400
1504261800000,4755.28000000,4776.29000000,4753.77000000,4761.42000000,17.05909100
1504263600000,4761.42000000,4778.20000000,4725.88000000,4766.07000000,19.24961000
1504265400000,4766.07000000,4798.46000000,4738.89000000,4775.00000000,14.61602900
1504267200000,4775.00000000,4780.00000000,4736.35000000,4780.00000000,4.19262900
1504269000000,4770.30000000,4793.00000000,4764.16000000,4793.00000000,3.83724400
1504270800000,4783.00000000,4839.92000000,4775.99000000,4777.41000000,11.10833100
1504272600000,4830.00000000,4830.00000000,4777.02000000,4777.02000000,2.99166900
1504274400000,4777.02000000,4788.00000000,4740.00000000,4740.00000000,13.96803000
1504276200000,4740.00000000,4757.32000000,4725.81000000,4725.81000000,7.63743100
1504278000000,4748.46000000,4789.09000000,4746.94000000,4746.94000000,11.27145100
1504279800000,4746.94000000,4804.12000000,4746.94000000,4803.83000000,13.88092700
1504281600000,4756.46000000,4803.83000000,4750.92000000,4769.85000000,15.61114500
1504283400000,4769.85000000,4800.13000000,4746.94000000,4780.80000000,14.31256500
1504285200000,4776.93000000,4785.38000000,4738.94000000,4782.97000000,13.50103700
1504287000000,4788.98000000,4794.97000000,4782.97000000,4792.97000000,9.91183800
1504288800000,4792.97000000,4811.82000000,4760.42000000,4782.88000000,9.87941200
1504290600000,4782.88000000,4789.99000000,4739.08000000,4771.08000000,8.47362200
1504292400000,4758.67000000,4808.11000000,4752.77000000,4762.67000000,12.70502600
1504294200000,4762.67000000,4815.67000000,4752.78000000,4813.24000000,12.55697800
1504296000000,4808.79000000,4809.11000000,4776.43000000,4777.77000000,12.17233400
1504297800000,4777.77000000,4819.67000000,4776.15000000,4819.67000000,7.62460000
1504299600000,4819.65000000,4846.78000000,4792.95000000,4817.37000000,14.80594300
1504301400000,4818.58000000,4859.44000000,4770.63000000,4770.63000000,9.18220500
1504303200000,4760.01000000,4810.43000000,4760.01000000,4800.03000000,3.44033600
1504305000000,4800.51000000,4857.60000000,4775.36000000,4843.17000000,11.24554100
1504306800000,4844.24000000,4885.55000000,4807.94000000,4830.32000000,17.40123600
1504308600000,4830.30000000,4883.99000000,4796.16000000,4834.91000000,11.11406900
1504310400000,4796.16000000,4885.54000000,4796.16000000,4796.24000000,3.01476400
1504312200000,4796.16000000,4885.55000000,4784.43000000,4885.55000000,18.51795700
1504314000000,4885.55000000,4914.27000000,4850.01000000,4904.19000000,22.95530000
1504315800000,4900.01000000,4932.38000000,4878.97000000,4932.38000000,22.51969600
1504317600000,4932.38000000,4939.19000000,4884.07000000,4930.00000000,15.09193000
1504319400000,4922.74000000,4928.09000000,4837.49000000,4839.96000000,15.89238800
1504321200000,4839.96000000,4839.96000000,4775.35000000,4798.99000000,27.61203000
1504323000000,4775.58000000,4850.00000000,4764.88000000,4788.07000000,19.93446300
1504324800000,4765.01000000,4809.91000000,4765.01000000,4785.17000000,9.81405700
